entity,term,count,,,entity,term,count,entity,term,count
Gene,Scl,8,,,,,,,,
Gene,DISC1,8,,,,,,,,
Gene,CIB1,8,,,,,,,,
Gene,CLOCK,8,,,,,,,,
Gene,Foxp3,8,,,,,,,,
Gene,SHANK3,8,,,,,,,,
Gene,Shisa6,8,,,,,,,,
Gene,Src,8,,,,,,,,
Gene,Dpep3,8,,,,,,,,
Gene,CDK4/6,8,,,,,,,,
Species,rat,8,,,,,,,,
Species,Mice,8,,,,,,,,
Species,Xenopus,8,,,,,,,,
Species,Mammalian,8,,,,,,,,
Chemical,leucine,8,,,,,,,,
Chemical,arginine,8,,,,,,,,
Chemical,phosphopeptides,8,,,,,,,,
Chromosome,2p34,8,,,,,,,,
Disease,MDS,8,,,,,,,,
Disease,neuronal migration defects,8,,,,,,,,
CellLine,P19,8,,,,,,,,
Gene,receptor tyrosine kinase,7,,,,,,,,
Gene,TEK,7,,,,,,,,
Gene,MBD1,7,,,,,,,,
Gene,MBD4,7,,,,,,,,
Gene,SSTR-2,7,,,,,,,,
Gene,Grb2,7,,,,,,,,
Gene,Grb7,7,,,,,,,,
Gene,Ca(v)1.2,7,,,,,,,,
Gene,SAP90,7,,,,,,,,
Gene,mNudE,7,,,,,,,,
Gene,Pafah1b1,7,,,,,,,,
Gene,JNK,7,,,,,,,,
Gene,HGF,7,,,,,,,,
Gene,Kir2.3,7,,,,,,,,
Gene,FLASH,7,,,,,,,,
Gene,PAK-2,7,,,,,,,,
Gene,Rac,7,,,,,,,,
Gene,STAT5,7,,,,,,,,
Gene,p53,7,,,,,,,,
Gene,Pak2,7,,,,,,,,
Gene,Arip4,7,,,,,,,,
Gene,MUC20,7,,,,,,,,
Gene,Duplin,7,,,,,,,,
Gene,Aph-1a,7,,,,,,,,
Gene,PLCdelta4,7,,,,,,,,
Gene,SLTM,7,,,,,,,,
Gene,BDNF,7,,,,,,,,
Gene,TMEM16B,7,,,,,,,,
Gene,Chd1,7,,,,,,,,
Gene,Hausp,7,,,,,,,,
Gene,Plk3,7,,,,,,,,
Gene,Dnmt1,7,,,,,,,,
Gene,integrin beta3,7,,,,,,,,
Gene,BMAL1,7,,,,,,,,
Gene,ASUN,7,,,,,,,,
Gene,RNF2,7,,,,,,,,
Gene,LRIT3,7,,,,,,,,
Gene,Shisa7,7,,,,,,,,
Species,transgenic mice,7,,,,,,,,
Chemical,heparin,7,,,,,,,,
Chemical,Ca2+,7,,,,,,,,
Disease,tumour,7,,,,,,,,
Disease,cancers,7,,,,,,,,
Disease,haploinsufficiency,7,,,,,,,,
Disease,cardiac hypertrophy,7,,,,,,,,
Gene,gamma-adaptin,6,,,,,,,,
Gene,flg,6,,,,,,,,
Gene,Tie-1,6,,,,,,,,
Gene,All-1,6,,,,,,,,
Gene,SF/HGF,6,,,,,,,,
Gene,CBP,6,,,,,,,,
Gene,MIBP1,6,,,,,,,,
Gene,Stat5,6,,,,,,,,
Gene,PSD-93,6,,,,,,,,
Gene,Folh1,6,,,,,,,,
Gene,TSC1,6,,,,,,,,
Gene,CYFIP1/2,6,,,,,,,,
Gene,Sema4F,6,,,,,,,,
Gene,SOX18,6,,,,,,,,
Gene,TCF4,6,,,,,,,,
Gene,Ang-1,6,,,,,,,,
Gene,Ang-2,6,,,,,,,,
Gene,TNF alpha,6,,,,,,,,
Gene,Ang1,6,,,,,,,,
Gene,Erbb4,6,,,,,,,,
Gene,Dcx,6,,,,,,,,
Gene,NRG1,6,,,,,,,,
Gene,GAC63,6,,,,,,,,
Gene,HIC-5,6,,,,,,,,
Gene,FGF21,6,,,,,,,,
Gene,Fxn,6,,,,,,,,
Gene,Kindlin-2,6,,,,,,,,
Gene,beta3,6,,,,,,,,
Gene,Neto1,6,,,,,,,,
Gene,fibrinogen,6,,,,,,,,
Gene,ROCK1,6,,,,,,,,
Gene,CRY1,6,,,,,,,,
Gene,DHHC5,6,,,,,,,,
Gene,MLL1,6,,,,,,,,
Gene,DPEP3,6,,,,,,,,
Gene,Foxk1,6,,,,,,,,
Gene,JRAB,6,,,,,,,,
Gene,Beclin 1,6,,,,,,,,
Gene,MET,6,,,,,,,,
Gene,TrkB,6,,,,,,,,
Gene,Polycomb,6,,,,,,,,
Gene,TBC1D21,6,,,,,,,,
Species,Mouse,6,,,,,,,,
Species,patient,6,,,,,,,,
Chemical,sulfur,6,,,,,,,,
Disease,breast cancer,6,,,,,,,,
Disease,inflammation,6,,,,,,,,
Disease,ASD,6,,,,,,,,
Gene,c-met,5,,,,,,,,
Gene,ME2,5,,,,,,,,
Gene,tie2,5,,,,,,,,
Gene,tie-1,5,,,,,,,,
Gene,DNA polymerase alpha,5,,,,,,,,
Gene,MEF2A,5,,,,,,,,
Gene,Pafaha,5,,,,,,,,
Gene,mNthl1,5,,,,,,,,
Gene,AP-1,5,,,,,,,,
Gene,CYT-1,5,,,,,,,,
Gene,Cul-3,5,,,,,,,,
Gene,ErbB4DeltaIC,5,,,,,,,,
Gene,Sema4C,5,,,,,,,,
Gene,mLis1,5,,,,,,,,
Gene,filamin-B,5,,,,,,,,
Gene,Friedreich ataxia,5,,,,,,,,
Gene,Gtf2ird1,5,,,,,,,,
Gene,Tcf7l2,5,,,,,,,,
Gene,GR,5,,,,,,,,
Gene,alpha2,5,,,,,,,,
Gene,Dok-R,5,,,,,,,,
Gene,MBD-2,5,,,,,,,,
Gene,MBD-3,5,,,,,,,,
Gene,MBD-1,5,,,,,,,,
Gene,14-3-3epsilon,5,,,,,,,,
Gene,reelin,5,,,,,,,,
Gene,mHAUSP,5,,,,,,,,
Gene,HAUSP,5,,,,,,,,
Gene,MYC,5,,,,,,,,
Gene,Sra-1,5,,,,,,,,
Gene,Nap1,5,,,,,,,,
Gene,Arp2/3,5,,,,,,,,
Gene,Nde1,5,,,,,,,,
Gene,Eto2,5,,,,,,,,
Gene,PSD95,5,,,,,,,,
Gene,CTCF,5,,,,,,,,
Gene,NGL-2,5,,,,,,,,
Gene,4-Sep,5,,,,,,,,
Gene,RORalpha,5,,,,,,,,
Gene,APH1,5,,,,,,,,
Gene,TNIK,5,,,,,,,,
Gene,AKAP13,5,,,,,,,,
Gene,clock,5,,,,,,,,
Gene,Usp7,5,,,,,,,,
Gene,Uhrf1,5,,,,,,,,
Gene,Ts4,5,,,,,,,,
Gene,BET,5,,,,,,,,
Gene,Prdm3,5,,,,,,,,
Gene,Prdm16,5,,,,,,,,
Gene,Mef2,5,,,,,,,,
Gene,Shank3,5,,,,,,,,
Gene,EPOP,5,,,,,,,,
Gene,GPS2,5,,,,,,,,
Species,bovine,5,,,,,,,,
Chemical,NAPVSIPQ,5,,,,,,,,
Chemical,peptides,5,,,,,,,,
Chemical,cysteine,5,,,,,,,,
Chemical,nocodazole,5,,,,,,,,
Chemical,SR1001,5,,,,,,,,
Chromosome,21q22.2,5,,,,,,,,
Disease,TS,5,,,,,,,,
Disease,Friedreich\'s ataxia,5,,,,,,,,
Disease,death,5,,,,,,,,
Disease,deficiency,5,,,,,,,,
Disease,obesity,5,,,,,,,,
Disease,stress,5,,,,,,,,
Disease,AML,5,,,,,,,,
Disease,PCG,5,,,,,,,,
CellLine,MDCK,5,,,,,,,,
CellLine,AP2,5,,,,,,,,
CellLine,HEK293,5,,,,,,,,
ProteinMutation,Pro33,5,,,,,,,,
Gene,PTK,4,,,,,,,,
Gene,erbB,4,,,,,,,,
Gene,erbB4,4,,,,,,,,
Gene,CDC46,4,,,,,,,,
Gene,DHPR,4,,,,,,,,
Gene,fgfr-1,4,,,,,,,,
Gene,ALL-1,4,,,,,,,,
Gene,c-Met,4,,,,,,,,
Gene,RTK,4,,,,,,,,
Gene,ITF-2,4,,,,,,,,
Gene,MITF-2A,4,,,,,,,,
Gene,MITF-2B,4,,,,,,,,
Gene,MMAC1,4,,,,,,,,
Gene,p/CIP,4,,,,,,,,
Gene,Frataxin,4,,,,,,,,
Gene,PAF-AH,4,,,,,,,,
Gene,Wnt,4,,,,,,,,
Gene,shyc,4,,,,,,,,
Gene,MeCP2,4,,,,,,,,
Gene,p85,4,,,,,,,,
Gene,Angiopoietin-1,4,,,,,,,,
Gene,Cav1.2,4,,,,,,,,
Gene,Cdk5,4,,,,,,,,
Gene,NAALADase,4,,,,,,,,
Gene,GRIP,4,,,,,,,,
Gene,Idd4,4,,,,,,,,
Gene,fibulin-5,4,,,,,,,,
Gene,Ncf1,4,,,,,,,,
Gene,alpha1,4,,,,,,,,
Gene,NCoR,4,,,,,,,,
Gene,VLDLR,4,,,,,,,,
Gene,Dab1,4,,,,,,,,
Gene,Met,4,,,,,,,,
Gene,cyclin D1,4,,,,,,,,
Gene,nicastrin,4,,,,,,,,
