entity,term,count,,,entity,term,count,entity,term,count
Gene,AK3,2,,,,,,,,
Gene,GAA,2,,,,,,,,
Gene,Lipin-1,2,,,,,,,,
Gene,lipin-1,2,,,,,,,,
Gene,Tnik,2,,,,,,,,
Gene,Semaphorin 5A,2,,,,,,,,
Gene,Caspr2,2,,,,,,,,
Gene,glycogen synthase kinase 3beta,2,,,,,,,,
Gene,Dyrk1a,2,,,,,,,,
Gene,AKAP,2,,,,,,,,
Gene,Igfn1,2,,,,,,,,
Gene,PLK3,2,,,,,,,,
Gene,Akt1,2,,,,,,,,
Gene,GSK3beta,2,,,,,,,,
Gene,PDK1,2,,,,,,,,
Gene,histone methyltransferase,2,,,,,,,,
Gene,AKAP15,2,,,,,,,,
Gene,Nrg1,2,,,,,,,,
Gene,SET1,2,,,,,,,,
Gene,Shh,2,,,,,,,,
Gene,Vax,2,,,,,,,,
Gene,Vax2,2,,,,,,,,
Gene,CDK6,2,,,,,,,,
Gene,Serca2,2,,,,,,,,
Gene,RANKL,2,,,,,,,,
Gene,Asunder,2,,,,,,,,
Gene,asun,2,,,,,,,,
Gene,Wiskott-Aldrich syndrome protein,2,,,,,,,,
Gene,Cyclophilin A,2,,,,,,,,
Gene,helG,2,,,,,,,,
Gene,DHX30,2,,,,,,,,
Gene,SUMO2/3,2,,,,,,,,
Gene,AMPAR,2,,,,,,,,
Gene,FBXL3,2,,,,,,,,
Gene,Fbxl3,2,,,,,,,,
Gene,PAF1,2,,,,,,,,
Gene,ITGB3,2,,,,,,,,
Gene,Aha1,2,,,,,,,,
Gene,RBBP4/7,2,,,,,,,,
Gene,FOXO3,2,,,,,,,,
Gene,Rab39b,2,,,,,,,,
Gene,Atf2,2,,,,,,,,
Gene,TOMM20,2,,,,,,,,
Species,chicken,2,,,,,,,,
Species,Drosophila melanogaster,2,,,,,,,,
Species,participant,2,,,,,,,,
Species,Transgenic mice,2,,,,,,,,
Species,Listeria monocytogenes,2,,,,,,,,
Species,E. coli,2,,,,,,,,
Species,L. monocytogenes,2,,,,,,,,
Species,Human,2,,,,,,,,
Species,Mycobacterium avium,2,,,,,,,,
Chemical,Heparin,2,,,,,,,,
Chemical,dihydropyridine,2,,,,,,,,
Chemical,#NAME?,2,,,,,,,,
Chemical,proline,2,,,,,,,,
Chemical,Lys,2,,,,,,,,
Chemical,retinoic acid,2,,,,,,,,
Chemical,RA,2,,,,,,,,
Chemical,G418,2,,,,,,,,
Chemical,acetylcholine,2,,,,,,,,
Chemical,oligonucleotides,2,,,,,,,,
Chemical,fumarate,2,,,,,,,,
Chemical,histidine,2,,,,,,,,
Chemical,methyl-CpG,2,,,,,,,,
Chemical,"phosphatidylinositol 3,4,5,-trisphosphate",2,,,,,,,,
Chemical,nisoldipine,2,,,,,,,,
Chemical,methionine,2,,,,,,,,
Chemical,adenosine,2,,,,,,,,
Chemical,glutathione,2,,,,,,,,
Chemical,thiols,2,,,,,,,,
Chemical,cysteines,2,,,,,,,,
Chemical,leukotriene D4,2,,,,,,,,
Chemical,PE,2,,,,,,,,
Chemical,PI-4-P,2,,,,,,,,
Chemical,TSA,2,,,,,,,,
Chemical,Fe-S,2,,,,,,,,
Chemical,tyrosines,2,,,,,,,,
Chemical,Glucose,2,,,,,,,,
Chemical,histidines,2,,,,,,,,
Chemical,glutamate,2,,,,,,,,
Chemical,lysines,2,,,,,,,,
Chemical,NYAPs,2,,,,,,,,
Chemical,melatonin,2,,,,,,,,
Chemical,leucettamine B,2,,,,,,,,
Chemical,Lysine,2,,,,,,,,
Chemical,MZ B,2,,,,,,,,
Chemical,Leu33Pro,2,,,,,,,,
Chromosome,chromosome 16,2,,,,,,,,
Chromosome,chromosome 10q23.3,2,,,,,,,,
Chromosome,17p13.3,2,,,,,,,,
Disease,von Willebrand,2,,,,,,,,
Disease,oedema,2,,,,,,,,
Disease,embryonic heart,2,,,,,,,,
Disease,growth retardation,2,,,,,,,,
Disease,hematopoiesis,2,,,,,,,,
Disease,embryonic vascular system,2,,,,,,,,
Disease,CHD,2,,,,,,,,
Disease,Tuberous sclerosis,2,,,,,,,,
Disease,glioma,2,,,,,,,,
Disease,heart tube,2,,,,,,,,
Disease,neurological disorders,2,,,,,,,,
Disease,Williams-Beuren syndrome,2,,,,,,,,
Disease,WBS,2,,,,,,,,
Disease,embryonic vascular,2,,,,,,,,
Disease,embryonic cardiomyocytes,2,,,,,,,,
Disease,developmental brain abnormality,2,,,,,,,,
Disease,tumors,2,,,,,,,,
Disease,tuberculosis,2,,,,,,,,
Disease,insulitis,2,,,,,,,,
Disease,diabetic,2,,,,,,,,
Disease,Williams syndrome,2,,,,,,,,
Disease,heart defects,2,,,,,,,,
Disease,cystic fibrosis,2,,,,,,,,
Disease,developmental arrest,2,,,,,,,,
Disease,muscular dystrophy,2,,,,,,,,
Disease,craniofacial abnormalities,2,,,,,,,,
Disease,genetic diseases,2,,,,,,,,
Disease,recessive ataxia,2,,,,,,,,
Disease,hepatic glucose,2,,,,,,,,
Disease,thrombosis,2,,,,,,,,
Disease,fibrinogen-deficient,2,,,,,,,,
Disease,pluripotency of embryonic,2,,,,,,,,
Disease,neonatal cardiomyocytes,2,,,,,,,,
Disease,hypertension,2,,,,,,,,
Disease,autoimmune diseases,2,,,,,,,,
Disease,autoimmune disease,2,,,,,,,,
Disease,acute myeloid leukaemia,2,,,,,,,,
Disease,Cancer,2,,,,,,,,
Disease,arrest,2,,,,,,,,
Disease,mitotic stress,2,,,,,,,,
Disease,mitosis,2,,,,,,,,
Disease,Haploinsufficiency,2,,,,,,,,
Disease,Alzheimer\'s disease,2,,,,,,,,
Disease,neuropsychiatric disorders,2,,,,,,,,
Disease,memory recall,2,,,,,,,,
Disease,blindness,2,,,,,,,,
Disease,IOP,2,,,,,,,,
Disease,ASDs,2,,,,,,,,
Disease,anxiety,2,,,,,,,,
Disease,cardiac stress,2,,,,,,,,
Disease,lung adenocarcinoma,2,,,,,,,,
CellLine,FM3A,2,,,,,,,,
CellLine,BALB3T3,2,,,,,,,,
CellLine,Cos7,2,,,,,,,,
CellLine,T47D,2,,,,,,,,
ProteinMutation,I154F,2,,,,,,,,
ProteinMutation,S1928A,2,,,,,,,,
Gene,basic fibroblast growth factor,1,,,,,,,,
Gene,pmv-23,1,,,,,,,,
Gene,ret,1,,,,,,,,
Gene,beta\'-adaptin,1,,,,,,,,
Gene,CaCh 2 or 3,1,,,,,,,,
Gene,growth factor receptor,1,,,,,,,,
Gene,EGFR,1,,,,,,,,
Gene,erbB1,1,,,,,,,,
Gene,rapsyn,1,,,,,,,,
Gene,Cdc21,1,,,,,,,,
Gene,P1(MCM3,1,,,,,,,,
Gene,MCM5,1,,,,,,,,
Gene,cdc21,1,,,,,,,,
Gene,P1MCM3,1,,,,,,,,
Gene,transcription factor IID,1,,,,,,,,
Gene,HP1,1,,,,,,,,
Gene,Lis3,1,,,,,,,,
Gene,Lis4,1,,,,,,,,
Gene,Lissencephaly-1,1,,,,,,,,
Gene,platelet-activating factor (PAF) acetylhydrolase,1,,,,,,,,
Gene,fibroblast growth factor receptor-1,1,,,,,,,,
Gene,CA4,1,,,,,,,,
Gene,nerve growth factor (NGF) receptor,1,,,,,,,,
Gene,cdc2 kinase,1,,,,,,,,
Gene,Myocyte enhancer factor (MEF) 2C,1,,,,,,,,
Gene,argininosuccinate lyase,1,,,,,,,,
Gene,MITF-2A and -2B,1,,,,,,,,
Gene,casein kinase-II,1,,,,,,,,
Gene,SemF,1,,,,,,,,
Gene,SSTR1,1,,,,,,,,
Gene,YY-1,1,,,,,,,,
Gene,myocyte enhancer factor-2,1,,,,,,,,
Gene,MEF2D,1,,,,,,,,
Gene,MEF2A and D,1,,,,,,,,
Gene,auxilin,1,,,,,,,,
Gene,glucocorticoid receptor interacting protein 1,1,,,,,,,,
Gene,factor 2,1,,,,,,,,
Gene,steroid receptor coactivator 1,1,,,,,,,,
Gene,vitamin D receptor,1,,,,,,,,
Gene,retinoic acid receptor alpha,1,,,,,,,,
Gene,retinoid X receptor alpha,1,,,,,,,,
Gene,mineralocorticoid receptor,1,,,,,,,,
Gene,dHAND,1,,,,,,,,
Gene,CBP/,1,,,,,,,,
Gene,Human epidermal growth factor receptor 4,1,,,,,,,,
Gene,betacellulin,1,,,,,,,,
Gene,Wnt-1,1,,,,,,,,
Gene,mTcf-3 and -4,1,,,,,,,,
Gene,general transcription factor II-I,1,,,,,,,,
Gene,BAP-135,1,,,,,,,,
Gene,APC,1,,,,,,,,
Gene,Tcf,1,,,,,,,,
Gene,endonuclease III,1,,,,,,,,
Gene,Endonuclease III,1,,,,,,,,
Gene,mNthl1/mNth1) of endoIII,1,,,,,,,,
Gene,NTHL1,1,,,,,,,,
Gene,tuberous sclerosis 2,1,,,,,,,,
Gene,PCM1,1,,,,,,,,
Gene,VEGF,1,,,,,,,,
Gene,Flt-1,1,,,,,,,,
Gene,interleukin-4,1,,,,,,,,
Gene,Interleukin-4,1,,,,,,,,
Gene,E4BP4,1,,,,,,,,
Gene,glutaredoxin,1,,,,,,,,
Gene,beta-amyloid peptide,1,,,,,,,,
Gene,envelope protein,1,,,,,,,,
Gene,apolipoprotein E,1,,,,,,,,
Gene,p27(KIP1),1,,,,,,,,
Gene,CelF39B2.i,1,,,,,,,,
Gene,Coactivator-associated arginine methyltransferase 1,1,,,,,,,,
Gene,Cullin-3,1,,,,,,,,
Gene,SCF,1,,,,,,,,
Gene,alpha-lactalbumin,1,,,,,,,,
Gene,Shp2,1,,,,,,,,
Gene,vascular endothelial-protein-tyrosine phosphatase,1,,,,,,,,
Gene,receptor-tyrosine kinase,1,,,,,,,,
Gene,Vascular Endothelial Growth Factor receptor 2,1,,,,,,,,
Gene,Flk-1,1,,,,,,,,
Gene,FGFR1-4,1,,,,,,,,
Gene,FGFR1-3,1,,,,,,,,
Gene,FGFR2,1,,,,,,,,
Gene,FGFR3,1,,,,,,,,
Gene,FGF-1,1,,,,,,,,
Gene,"FGF-2, -10, and -7",1,,,,,,,,
Gene,FGF-7,1,,,,,,,,
Gene,Fibroblast growth factor (FGF)-2,1,,,,,,,,
Gene,p42,1,,,,,,,,
Gene,p44,1,,,,,,,,
Gene,fibroblast growth factor-2,1,,,,,,,,
Gene,cathepsin K,1,,,,,,,,
Gene,MMP-9,1,,,,,,,,
Gene,mitotic chromosome-associated protein,1,,,,,,,,
Gene,(Ca(v)1. 2,1,,,,,,,,
Gene,tuberous sclerosis 1,1,,,,,,,,
Gene,Sema4c,1,,,,,,,,
Gene,PSD-95/DLG/ZO-1,1,,,,,,,,
Gene,SAP97,1,,,,,,,,
Gene,DLG-1,1,,,,,,,,
Gene,"LIS1, a microtubule-associated protein",1,,,,,,,,
Gene,NUDE,1,,,,,,,,
Gene,Prostate Specific Membrane Antigen,1,,,,,,,,
Gene,FOLH1,1,,,,,,,,
Gene,Myogenin,1,,,,,,,,
Gene,Glutamate receptor interacting protein,1,,,,,,,,
Gene,GluRalpha3,1,,,,,,,,
Gene,FXR1P,1,,,,,,,,
Gene,FXR2P,1,,,,,,,,
Gene,FMR1,1,,,,,,,,
Gene,CYFIP2,1,,,,,,,,
Gene,FXR,1,,,,,,,,
Gene,EphrinB1,1,,,,,,,,
Gene,synapsin1,1,,,,,,,,
Gene,cofactors p300 and p300/CBP-associated factor,1,,,,,,,,
Gene,coactivator-associated arginine methyltransferase-1,1,,,,,,,,
Gene,PRMT1-5,1,,,,,,,,
Gene,protein-arginine N-methyltransferase-1-5,1,,,,,,,,
Gene,PRMT4,1,,,,,,,,
Gene,myocyte enhancer factor-2C,1,,,,,,,,
Gene,Idd4C,1,,,,,,,,
Gene,beta1D,1,,,,,,,,
Gene,filamin-A,1,,,,,,,,
Gene,filamin-C,1,,,,,,,,
Gene,beta1A,1,,,,,,,,
Gene,Cyln2,1,,,,,,,,
Gene,PROP1,1,,,,,,,,
Gene,frizzled2,1,,,,,,,,
Gene,Apc,1,,,,,,,,
Gene,Fzd2,1,,,,,,,,
Gene,Hepatocyte growth factor,1,,,,,,,,
Gene,JSAP1,1,,,,,,,,
Gene,JNK/SAPK-associated protein-1,1,,,,,,,,
Gene,Mapk8ip3,1,,,,,,,,
Gene,Inward rectifier K+ channel Kir2.3,1,,,,,,,,
Gene,chapsyn-110,1,,,,,,,,
Gene,fs(1)h,1,,,,,,,,
Gene,beta2,1,,,,,,,,
Gene,Gamma-adaptin,1,,,,,,,,
Gene,gamma and beta1,1,,,,,,,,
Gene,PDZ domain protein,1,,,,,,,,
Gene,Tumor necrosis factor alpha receptor,1,,,,,,,,
Gene,Tumor necrosis factor alpha,1,,,,,,,,
Gene,nuclear factor kappa B,1,,,,,,,,
Gene,FLICE-associated huge protein,1,,,,,,,,
Gene,Fas ligand,1,,,,,,,,
Gene,PPARgamma,1,,,,,,,,
Gene,a2,1,,,,,,,,
Gene,ICAP1-alpha,1,,,,,,,,
Gene,Numb,1,,,,,,,,
Gene,EPS8,1,,,,,,,,
Gene,beta 7 and beta 3,1,,,,,,,,
Gene,angiopoietin-1,1,,,,,,,,
Gene,downstream-of-kinase-related,1,,,,,,,,
Gene,NR4A3,1,,,,,,,,
Gene,Nurr1,1,,,,,,,,
Gene,Nur77,1,,,,,,,,
Gene,hRORbeta,1,,,,,,,,
Gene,membrane-bound dipeptidase-2,1,,,,,,,,
Gene,membrane-bound dipeptidase-3,1,,,,,,,,
Gene,membrane-bound dipeptidase-1,1,,,,,,,,
Gene,YWHAE,1,,,,,,,,
Gene,Ywhae,1,,,,,,,,
Gene,CDK5/p35,1,,,,,,,,
Gene,CDK5,1,,,,,,,,
Gene,PAK,1,,,,,,,,
Gene,NudEL,1,,,,,,,,
Gene,HDAC,1,,,,,,,,
Gene,Srp20,1,,,,,,,,
Gene,pafah1b1,1,,,,,,,,
Gene,NPT2B,1,,,,,,,,
Gene,ErbB,1,,,,,,,,
Gene,"heparin-binding EGF, betacellulin and epiregulin",1,,,,,,,,
Gene,p160ROCK,1,,,,,,,,
Gene,RELN,1,,,,,,,,
Gene,Lrp8,1,,,,,,,,
Gene,Rho-kinase,1,,,,,,,,
Gene,herpesvirus-associated ubiquitin-specific protease,1,,,,,,,,
Gene,AP-4,1,,,,,,,,
Gene,keap1,1,,,,,,,,
Gene,nrf2,1,,,,,,,,
Gene,specifically Rac1-associated protein-1,1,,,,,,,,
Gene,Nck-associated protein 1,1,,,,,,,,
Gene,e3B1,1,,,,,,,,
Gene,Veli-3,1,,,,,,,,
Gene,CASK,1,,,,,,,,
Gene,Mint1,1,,,,,,,,
Gene,SAP102,1,,,,,,,,
Gene,MPP-3,1,,,,,,,,
Gene,5-HT(2) receptor,1,,,,,,,,
Gene,Nuclear distribution gene E-like product,1,,,,,,,,
Gene,androgen receptor-interacting protein 4,1,,,,,,,,
Gene,Cullin 3,1,,,,,,,,
Gene,Roc1,1,,,,,,,,
Gene,angiopoietin-3,1,,,,,,,,
Gene,angiopoietin-4,1,,,,,,,,
Gene,Ang2,1,,,,,,,,
Gene,met,1,,,,,,,,
Gene,Gab1/phosphatidylinositol 3-kinase,1,,,,,,,,
Gene,Gab1,1,,,,,,,,
Gene,myocyte enhancer factor 2C,1,,,,,,,,
Gene,p38 mitogen-activated protein kinase,1,,,,,,,,
Gene,PIST,1,,,,,,,,
Gene,GOPC,1,,,,,,,,
Gene,Axin2,1,,,,,,,,
Gene,beta1,1,,,,,,,,
Gene,Filamin C,1,,,,,,,,
Gene,NRG3,1,,,,,,,,
Gene,hGFAP,1,,,,,,,,
Gene,platelet activating factor acetylhydrolase,1,,,,,,,,
Gene,Aph-1,1,,,,,,,,
Gene,Aph-1b,1,,,,,,,,
Gene,Aph-1c,1,,,,,,,,
Gene,APH-1b,1,,,,,,,,
Gene,APH-1c,1,,,,,,,,
Gene,Notch1,1,,,,,,,,
Gene,semaphorin 5A,1,,,,,,,,
Gene,Retinoic acid induced 1,1,,,,,,,,
Gene,myocyte enhancer factor 2,1,,,,,,,,
Gene,"MEF2A, -C, and -D",1,,,,,,,,
Gene,Ulp1,1,,,,,,,,
Gene,Smt4,1,,,,,,,,
Gene,Ulp2,1,,,,,,,,
Gene,beta-COP,1,,,,,,,,
Gene,cyclinT1,1,,,,,,,,
Gene,Phospholipase Cdelta4,1,,,,,,,,
Gene,phospholipase C (PLC) delta4,1,,,,,,,,
Gene,glutamate receptor-interacting protein1,1,,,,,,,,
Gene,ARA-55,1,,,,,,,,
Gene,androgen receptor activator of 55 kDa,1,,,,,,,,
Gene,pericentriolar material (PCM)-1,1,,,,,,,,
Gene,CLIP170,1,,,,,,,,
Gene,SSB-3,1,,,,,,,,
Gene,prostate apoptosis response protein-4,1,,,,,,,,
Gene,hepatocyte growth factor receptor,1,,,,,,,,
Gene,pyrin,1,,,,,,,,
Gene,tau,1,,,,,,,,
Gene,Rheb,1,,,,,,,,
Gene,p70S6K,1,,,,,,,,
Gene,EB1,1,,,,,,,,
Gene,SNF1,1,,,,,,,,
Gene,ARID3a,1,,,,,,,,
Gene,Dril1,1,,,,,,,,
Gene,ETO2,1,,,,,,,,
Gene,Myocardin,1,,,,,,,,
Gene,Prolactin,1,,,,,,,,
Gene,Cyt-1,1,,,,,,,,
Gene,NLRR-1,1,,,,,,,,
Gene,vinculin,1,,,,,,,,
Gene,FLRT1,1,,,,,,,,
Gene,FLRT2,1,,,,,,,,
Gene,IGF2,1,,,,,,,,
Gene,FGFR1(IIIc),1,,,,,,,,
Gene,bromodomain containing protein 4,1,,,,,,,,
Gene,very low-density lipoprotein receptor,1,,,,,,,,
Gene,apolipoprotein E receptor 2,1,,,,,,,,
Gene,Disabled-1,1,,,,,,,,
Gene,Pafah1b2,1,,,,,,,,
Gene,Pafah1b3,1,,,,,,,,
Gene,Apoer2,1,,,,,,,,
Gene,Vldlr,1,,,,,,,,
Gene,fibroblast growth factor 21,1,,,,,,,,
Gene,Fibroblast growth factor 21,1,,,,,,,,
Gene,ATM (ataxia telangiectasia mutated,1,,,,,,,,
Gene,Fe-S proteins (xanthine oxido-reductase,1,,,,,,,,
Gene,Nth1,1,,,,,,,,
Gene,IscU,1,,,,,,,,
Gene,scaffold attachment factor-B1,1,,,,,,,,
Gene,scaffold attachment factor B,1,,,,,,,,
Gene,HET,1,,,,,,,,
Gene,TATA-box-binding protein,1,,,,,,,,
Gene,beta-galactosidase,1,,,,,,,,
Gene,cytochrome c,1,,,,,,,,
Gene,BAF53a,1,,,,,,,,
Gene,SWI2,1,,,,,,,,
Gene,BAF45b,1,,,,,,,,
Gene,BAF45c,1,,,,,,,,
Gene,BAF53b,1,,,,,,,,
Gene,FgfR1,1,,,,,,,,
Gene,Sox2,1,,,,,,,,
Gene,SOX2,1,,,,,,,,
Gene,muscle-specific,1,,,,,,,,
Gene,E2-2,1,,,,,,,,
Gene,cyclin D2,1,,,,,,,,
Gene,Bcl-x,1,,,,,,,,
Gene,GluR2,1,,,,,,,,
Gene,Rap1,1,,,,,,,,
Gene,Ca(2+)-binding protein 5,1,,,,,,,,
Gene,betaPIX,1,,,,,,,,
Gene,GIT1,1,,,,,,,,
Gene,ARF6,1,,,,,,,,
Gene,Sra1,1,,,,,,,,
Gene,Brain cytoplasmic RNA 1,1,,,,,,,,
Gene,Pnutl2,1,,,,,,,,
Gene,4-Sep,1,,,,,,,,
Gene,CD8,1,,,,,,,,
Gene,Chd8,1,,,,,,,,
Gene,Scl/Tal1,1,,,,,,,,
Gene,myocyte enhancer factor 2 C,1,,,,,,,,
Gene,N-methyl-D-aspartate receptor,1,,,,,,,,
Gene,neuropilin tolloid-like 1,1,,,,,,,,
Gene,C1r,1,,,,,,,,
Gene,NR2B,1,,,,,,,,
Gene,von Willebrand factor,1,,,,,,,,
Gene,amyloid-beta precursor protein,1,,,,,,,,
Gene,PS2,1,,,,,,,,
Gene,anterior pharynx defective-1,1,,,,,,,,
Gene,PEN2,1,,,,,,,,
Gene,Vascular endothelial protein tyrosine phosphatase,1,,,,,,,,
Gene,Erk1/2,1,,,,,,,,
Gene,VELI3,1,,,,,,,,
Gene,adenylate kinase 4,1,,,,,,,,
Gene,STAT5a,1,,,,,,,,
Gene,E-cadherin,1,,,,,,,,
Gene,hFXN,1,,,,,,,,
Gene,)) frataxin,1,,,,,,,,
Gene,hFXN(,1,,,,,,,,
Gene,Neuregulin1,1,,,,,,,,
Gene,neuregulin1,1,,,,,,,,
Gene,phosphatidic acid phosphohydrolase,1,,,,,,,,
Gene,PAP,1,,,,,,,,
Gene,lipin-2,1,,,,,,,,
Gene,lipin-3,1,,,,,,,,
Gene,Disrupted-in-schizophrenia 1,1,,,,,,,,
Gene,muscle creatine kinase,1,,,,,,,,
Gene,MCK,1,,,,,,,,
Gene,Nfs1,1,,,,,,,,
Gene,uroporphyrinogen III synthase,1,,,,,,,,
Gene,ferrochelatase,1,,,,,,,,
Gene,transferrin,1,,,,,,,,
Gene,ferroportin1,1,,,,,,,,
Gene,Sec15l1,1,,,,,,,,
Gene,mitoferrin-2,1,,,,,,,,
Gene,Mfrn2,1,,,,,,,,
Gene,Tcf4,1,,,,,,,,
Gene,cyclin T1,1,,,,,,,,
Gene,Brd2,1,,,,,,,,
Gene,SEMA5A,1,,,,,,,,
Gene,matrix metalloproteinase 9,1,,,,,,,,
Gene,ROCK2,1,,,,,,,,
Gene,ROCK,1,,,,,,,,
Gene,a disintegrin and metalloproteinase 22,1,,,,,,,,
Gene,Caspr,1,,,,,,,,
Gene,BRX,1,,,,,,,,
Gene,Brx-1,1,,,,,,,,
Gene,AKAP-Lbc,1,,,,,,,,
Gene,proto-Lbc,1,,,,,,,,
Gene,Galpha(12),1,,,,,,,,
Gene,dual specificity tyrosine phosphorylation-regulated kinase 1A,1,,,,,,,,
Gene,post-synaptic density protein-95,1,,,,,,,,
Gene,CA3,1,,,,,,,,
Gene,Cib1,1,,,,,,,,
Gene,Ppp3cb,1,,,,,,,,
Gene,phosphatase and tensin homolog,1,,,,,,,,
Gene,"Growth factor receptor bound (Grb) proteins 7, 10 and 14",1,,,,,,,,
Gene,cartilage oligomeric matrix protein,1,,,,,,,,
Gene,Grb10,1,,,,,,,,
Gene,CLOCK-BMAL1,1,,,,,,,,
Gene,A-kinase anchoring protein-15,1,,,,,,,,
Gene,ubiquitin specific peptidase 7,1,,,,,,,,
Gene,Neuregulin-1,1,,,,,,,,
Gene,CD4,1,,,,,,,,
Gene,interleukin-17A,1,,,,,,,,
Gene,TEX101,1,,,,,,,,
Gene,phosphatidylinositol 3-kinase,1,,,,,,,,
Gene,bromodomain-containing 4,1,,,,,,,,
Gene,PlexinA1,1,,,,,,,,
Gene,PlexinA3,1,,,,,,,,
Gene,Sonic hedgehog,1,,,,,,,,
Gene,phosphoinositide 3-kinase,1,,,,,,,,
Gene,NYAP1,1,,,,,,,,
Gene,NYAP2,1,,,,,,,,
Gene,NYAP3,1,,,,,,,,
Gene,Contactin5,1,,,,,,,,
Gene,Fyn,1,,,,,,,,
Gene,BCL2,1,,,,,,,,
Gene,C-MYC,1,,,,,,,,
Gene,BRD3/4,1,,,,,,,,
Gene,AF9,1,,,,,,,,
Gene,AF4,1,,,,,,,,
Gene,SERCA,1,,,,,,,,
Gene,receptor activator of nuclear factor kappa-B ligand,1,,,,,,,,
Gene,macrophage colony-stimulating factor,1,,,,,,,,
Gene,tartrate-resistant acid phosphatase,1,,,,,,,,
Gene,TRAP,1,,,,,,,,
Gene,c-Fos,1,,,,,,,,
Gene,c-Fms,1,,,,,,,,
Gene,c-jun-N-terminal kinases,1,,,,,,,,
Gene,JNK2,1,,,,,,,,
Gene,PER2,1,,,,,,,,
Gene,PER3,1,,,,,,,,
Gene,DYRK2,1,,,,,,,,
Gene,CLK3,1,,,,,,,,
Gene,PIM1,1,,,,,,,,
Gene,SLK,1,,,,,,,,
Gene,Vac14,1,,,,,,,,
Gene,RanBP2-Bicaudal D2,1,,,,,,,,
Gene,Nup133,1,,,,,,,,
Gene,centromere protein F,1,,,,,,,,
Gene,asunder,1,,,,,,,,
Gene,lissencephaly 1,1,,,,,,,,
Gene,Junctional Rab13-binding protein,1,,,,,,,,
Gene,Rab13,1,,,,,,,,
Gene,junctional Rab13-binding protein,1,,,,,,,,
Gene,MICAL-L2,1,,,,,,,,
Gene,JRABDeltaCT,1,,,,,,,,
Gene,ASB2,1,,,,,,,,
Gene,steroid receptor coactivator 2,1,,,,,,,,
Gene,PIK3C3,1,,,,,,,,
Gene,DDB1,1,,,,,,,,
Gene,CUL4A,1,,,,,,,,
Gene,SQSTM1,1,,,,,,,,
Gene,PINK1,1,,,,,,,,
Gene,proto-oncogene c-Myc,1,,,,,,,,
Gene,Plk1,1,,,,,,,,
Gene,ZNF451,1,,,,,,,,
Gene,SUMO2,1,,,,,,,,
Gene,SUMO3,1,,,,,,,,
Gene,MET(Delta14,1,,,,,,,,
Gene,GluA1,1,,,,,,,,
Gene,GluA2,1,,,,,,,,
Gene,FBXL21,1,,,,,,,,
Gene,Fbxl21,1,,,,,,,,
Gene,TAR DNA binding protein 43,1,,,,,,,,
Gene,endophilin A1,1,,,,,,,,
Gene,brain-derived neurotrophic factor,1,,,,,,,,
Gene,tropomyosin-related kinase B,1,,,,,,,,
Gene,N-WASP,1,,,,,,,,
Gene,NF-E2-related-factor 2,1,,,,,,,,
Gene,Kelch-like-ECH-associated-protein 1,1,,,,,,,,
Gene,cullin-3,1,,,,,,,,
Gene,C17orf96,1,,,,,,,,
Gene,SET domain-containing 5,1,,,,,,,,
Gene,Set3p,1,,,,,,,,
Gene,UpSET,1,,,,,,,,
Gene,A-kinase anchoring protein 150,1,,,,,,,,
Gene,Lrit3,1,,,,,,,,
Gene,TRPM1,1,,,,,,,,
Gene,transient receptor potential melastatin 1,1,,,,,,,,
Gene,mGluR6,1,,,,,,,,
Gene,GluR5,1,,,,,,,,
Gene,IFITM3,1,,,,,,,,
Gene,Integrin beta3,1,,,,,,,,
Gene,5-HT transporter,1,,,,,,,,
Gene,PlA2,1,,,,,,,,
Gene,Itgb3,1,,,,,,,,
Gene,focal adhesion kinase,1,,,,,,,,
Gene,integrin alphavbeta3,1,,,,,,,,
Gene,TSC,1,,,,,,,,
Gene,heat-shock protein 90,1,,,,,,,,
Gene,CKAMP59,1,,,,,,,,
Gene,G-Protein Pathway Suppressor 2,1,,,,,,,,
Gene,Ubc13,1,,,,,,,,
Gene,HDAC2,1,,,,,,,,
Gene,PWWP2B,1,,,,,,,,
Gene,HDAC1/2,1,,,,,,,,
Gene,p66alpha,1,,,,,,,,
Gene,CHD3/4,1,,,,,,,,
Gene,HDAC1,1,,,,,,,,
Gene,junctophilin-2,1,,,,,,,,
Gene,Junctophilin-2,1,,,,,,,,
Gene,Hdac3,1,,,,,,,,
Gene,Paf1,1,,,,,,,,
Gene,HMT,1,,,,,,,,
Gene,glutamate receptor 1,1,,,,,,,,
Gene,SMCR8,1,,,,,,,,
Gene,WDR41,1,,,,,,,,
Gene,Rab3a,1,,,,,,,,
Gene,Rab11,1,,,,,,,,
Gene,Smcr8,1,,,,,,,,
Gene,Akap8,1,,,,,,,,
Gene,Brg1,1,,,,,,,,
Gene,Angpt1,1,,,,,,,,
Gene,Tgfb2,1,,,,,,,,
Gene,Tgfb3,1,,,,,,,,
Gene,Itga8,1,,,,,,,,
Gene,Itgb7,1,,,,,,,,
Gene,cyclin,1,,,,,,,,
Gene,CHK1,1,,,,,,,,
Gene,CDK4,1,,,,,,,,
Gene,CDK2,1,,,,,,,,
Gene,cyclin-dependent kinases 4 and 6,1,,,,,,,,
Species,human cytomegalovirus,1,,,,,,,,
Species,chick,1,,,,,,,,
Species,simian virus 40,1,,,,,,,,
Species,vaccinia virus,1,,,,,,,,
Species,Schizosaccharomyces pombe,1,,,,,,,,
Species,D. melanogaster,1,,,,,,,,
